iter	Logloss
0	0.6629446069
1	0.6360866138
2	0.6146950124
3	0.5928046133
4	0.5743645062
5	0.5584541037
6	0.5430491157
7	0.5300949745
8	0.5192478836
9	0.5097784562
10	0.5011281786
11	0.4932738915
12	0.4862712162
13	0.4798041494
14	0.4738367579
15	0.4686193615
16	0.4634093089
17	0.4596797369
18	0.45606733
19	0.4529042486
20	0.4493471733
21	0.4468750178
22	0.4441366472
23	0.4413222694
24	0.4386803019
25	0.4370268237
26	0.434887324
27	0.4334434091
28	0.4316465499
29	0.4303593746
30	0.4287630584
31	0.4277472217
32	0.4263880422
33	0.4253857896
34	0.4241634725
35	0.4232171824
36	0.422219624
37	0.4214331241
38	0.4208218877
39	0.4200081863
40	0.4192962454
41	0.4187140882
42	0.4180680287
43	0.4176141074
44	0.4171416433
45	0.4167398506
46	0.4162440435
47	0.4157315257
48	0.4153036584
49	0.4148256685
50	0.4144719634
51	0.414171249
52	0.413918197
53	0.4135796931
54	0.4133065103
55	0.4130009382
56	0.4126669961
57	0.4124471194
58	0.4122253814
59	0.4118203733
60	0.4115398699
61	0.4112208348
62	0.4109923876
63	0.4108506874
64	0.4106440663
65	0.4104404297
66	0.4102170298
67	0.4100722861
68	0.409911243
69	0.4097254775
70	0.4094693069
71	0.4092099238
72	0.409012275
73	0.4088446739
74	0.4087043384
75	0.4085869402
76	0.4083585919
77	0.4082156033
78	0.4080727318
79	0.4078604771
80	0.4077305671
81	0.4075659352
82	0.4074555818
83	0.4073540866
84	0.4071795254
85	0.4070288921
86	0.4068206349
87	0.4066827324
88	0.406533414
89	0.4064279483
90	0.4062722787
91	0.4061471434
92	0.4060331737
93	0.4059179221
94	0.4058209874
95	0.4056767243
96	0.4054993001
97	0.4053577256
98	0.405262601
99	0.4051903858
100	0.4050898794
101	0.4049828199
102	0.4049021424
103	0.4048221532
104	0.4046890383
105	0.40456998
106	0.4045004405
107	0.404426242
108	0.4042970326
109	0.4041957014
110	0.4040911895
111	0.4039815232
112	0.4039081676
113	0.4038313108
114	0.4037262268
115	0.4036366736
116	0.4035547393
117	0.4034863549
118	0.4033620183
119	0.4032744933
120	0.4031817603
121	0.4030984237
122	0.4030188786
123	0.4029188268
124	0.4027760525
125	0.4027087968
126	0.4026347773
127	0.4025061126
128	0.4023948708
129	0.4023103154
130	0.4022421139
131	0.4021398495
132	0.4020599416
133	0.4019775257
134	0.4018894675
135	0.4018240452
136	0.4017222112
137	0.4016032834
138	0.4015358032
139	0.4014527743
140	0.4013967413
141	0.4013074636
142	0.4012448488
143	0.401175034
144	0.4011192552
145	0.4010265946
146	0.4009849955
147	0.4009228581
148	0.40084332
149	0.4007193325
150	0.4006486615
151	0.400565134
152	0.400482724
153	0.4004291211
154	0.4003518572
155	0.4002769775
156	0.4002075297
157	0.4001521516
158	0.4001221022
159	0.4000663659
160	0.4000067725
161	0.3999343577
162	0.3998502036
163	0.3997992555
164	0.3997305296
165	0.3996268343
166	0.3995870111
167	0.3995241141
168	0.3994756785
169	0.3994001656
170	0.3993444307
171	0.3992884998
172	0.3992500777
173	0.3992003459
174	0.3991259509
175	0.3990798035
176	0.3989943326
177	0.3989430579
178	0.3988926043
179	0.3988387323
180	0.3987666969
181	0.398735625
182	0.3986640082
183	0.3985955867
184	0.3985272043
185	0.3984888369
186	0.3984509961
187	0.3983894497
188	0.3983555317
189	0.3983203611
190	0.3982653973
191	0.3981835922
192	0.3981514775
193	0.398077931
194	0.3980370553
195	0.3979572441
196	0.397901782
197	0.3978210611
198	0.3977529883
199	0.3977175253
200	0.3976752508
201	0.3976287157
202	0.3975995457
203	0.3975418099
204	0.3975075005
205	0.3974593338
206	0.3974192802
207	0.3973785518
208	0.3973489562
209	0.3972906437
210	0.3972465552
211	0.397214184
212	0.3971212837
213	0.3970898988
214	0.3970462078
215	0.3969943893
216	0.396958955
217	0.3969107069
218	0.3968573516
219	0.3968175002
220	0.3967612502
221	0.3967320165
222	0.3966899571
223	0.3966166781
224	0.396575294
225	0.3964984041
226	0.3964545732
227	0.3964210978
228	0.3963724274
229	0.3963257291
230	0.3962826205
231	0.3962417749
232	0.396198274
233	0.3961656318
234	0.3961070173
235	0.3960106085
236	0.3959493731
237	0.3958953875
238	0.3958625465
239	0.3957975909
240	0.3957462194
241	0.3957101826
242	0.3956664582
243	0.3956307121
244	0.3956014312
245	0.3955305347
246	0.3954880563
247	0.3954509755
248	0.3954059285
249	0.395363908
250	0.3953321647
251	0.3952991577
252	0.3952682435
253	0.3952209448
254	0.395175451
255	0.3950865931
256	0.3950413728
257	0.3949949234
258	0.3949572983
259	0.3949225619
260	0.3948897459
261	0.3948263145
262	0.3947657863
263	0.3947141243
264	0.3946592625
265	0.3946234149
266	0.3945932388
267	0.3945591205
268	0.3944969273
269	0.3944580346
270	0.3944147169
271	0.3943660676
272	0.3943060496
273	0.3942479347
274	0.3942075077
275	0.3941672246
276	0.3941120655
277	0.3940760588
278	0.3940341712
279	0.3939973478
280	0.3939662701
281	0.3939182583
282	0.3938776985
283	0.3938347793
284	0.3937847692
285	0.393729449
286	0.393691997
287	0.3936377681
288	0.3935967043
289	0.3935335025
290	0.393482802
291	0.3934386833
292	0.3933964905
293	0.3933652655
294	0.3933224904
295	0.3932930755
296	0.3932552533
297	0.3932171461
298	0.3931717103
299	0.3931244409
300	0.393077896
301	0.3930444514
302	0.3930111667
303	0.392945137
304	0.3929194102
305	0.3928809445
306	0.3928551124
307	0.3927905171
308	0.3927539881
309	0.3927268591
310	0.392681682
311	0.3926365041
312	0.3926195777
313	0.3925743466
314	0.3925416779
315	0.392520593
316	0.3924519574
317	0.3924162679
318	0.3923579141
319	0.3923152066
320	0.3922451966
321	0.3922082798
322	0.3921606556
323	0.3921233323
324	0.3921060016
325	0.3920526868
326	0.3920277378
327	0.3919925541
328	0.3919505041
329	0.3919168866
330	0.3918646741
331	0.3917862646
332	0.3917614538
333	0.3917234067
334	0.3916906603
335	0.3916585344
336	0.3916304427
337	0.3915849325
338	0.3915686868
339	0.3915419665
340	0.3915052667
341	0.3914742226
342	0.391436447
343	0.3913867716
344	0.3913328711
345	0.3913015536
346	0.3912860511
347	0.3912582901
348	0.3912189776
349	0.3911850863
350	0.3911550954
351	0.3911395857
352	0.3910939923
353	0.3910651805
354	0.3910216659
355	0.3909708275
356	0.3909362909
357	0.3909114754
358	0.3908664887
359	0.3908373598
360	0.3908092915
361	0.3907782825
362	0.3907484822
363	0.390709006
364	0.3906661202
365	0.3906307084
366	0.3905997686
367	0.3905563477
368	0.3904759802
369	0.3904495184
370	0.3904126146
371	0.3903772447
372	0.3903364467
373	0.3902882426
374	0.390245179
375	0.3902063884
376	0.3901478516
377	0.3901122948
378	0.3900828323
379	0.3900507378
380	0.3900104153
381	0.3899734215
382	0.3899144963
383	0.3898791965
384	0.3898393745
385	0.3897945075
386	0.3897807927
387	0.389752832
388	0.3897150781
389	0.3896847397
390	0.3896477572
391	0.389618263
392	0.3895811276
393	0.3895509344
394	0.3895254524
395	0.3894997786
396	0.3894720755
397	0.3894408995
398	0.3894075835
399	0.3893801788
